size,rank,batch_size,loading_time,computation_time
1,0,64,1.8400824069976807,3.119772434234619
2,0,64,0.2662079334259033,1.3342206478118896
2,1,64,0.29927921295166016,1.3352577686309814
1,0,16,0.1358966827392578,1.2556982040405273
2,0,16,0.06815075874328613,1.0917959213256836
2,1,16,0.06897687911987305,1.086272954940796
1,0,32,0.535179615020752,1.3831901550292969
2,0,32,0.12537765502929688,1.1488370895385742
2,1,32,0.1172170639038086,1.1807496547698975
2,0,128,0.48928236961364746,1.6926915645599365
2,1,128,0.6167247295379639,1.6773450374603271